Dép.;Nom du col ;Altitude (m);"Ascencions
(Nb)";Col;>2000m;VTT
04;Col de Vars;2108;2;Oui;X;
04;Col d'Allos;2247;1;Oui;X;
04;Col de la Cayolle;2326;1;Oui;X;
04;Col de la Bonnette;2802;3;Oui;X;
05;Col de la Saulce;877;1;Oui;;
05;Col de la Sentinelle;981;1;Oui;;
05;Col du Villar;1039;1;Oui;;
05;Col de Pommerol;1072;1;Oui;;
05;Col des Tourettes;1126;1;Oui;;
05;Col de Cabre;1180;1;Oui;;
05;Col de Carabes;1261;2;Oui;;
05;Col de Manse;1268;2;Oui;;
05;Col de Festre;1441;1;Oui;;
05;Col de Moissière;1573;1;Oui;;
05;Col du Noyer;1664;2;Oui;;
05;Col de L'échelle;1762;1;Oui;;
05;Col du Lautaret;2058;1;Oui;X;
05;Col de la Platrière (Izoard côté Guillestre);2220;3;Oui;X;
05;Col de l'Izoard;2360;4;Oui;X;
05;Col du Galibier;2682;3;Oui;X;
05;Col Agnel;2744;2;Oui;X;
06;Col des 4 chemins;321;1;Oui;;
06;Col d'Eze;507;1;Oui;;
06;Col de la Lèque;695;1;Oui;;
06;Col du Pilon;786;2;Oui;;
06;Col de Vence;963;2;Oui;;
06;Col du Ferrier;1041;2;Oui;;
06;Col de la Sine;1108;1;Oui;;
06;Col de l'Ecre;1118;4;Oui;;
06;Col St Martin;1500;1;Oui;;
06;Col du Turini;1607;1;Oui;;
06;Col de la Couillole;1678;1;Oui;;
06;Col des Champs;2093;1;Oui;X;
06;Col de la Lombarde;2350;1;Oui;X;
07;Col de Mézilhac;1119;1;Oui;;
26;Col St Michel;347;1;Oui;;
26;Col de Perponcher;460;1;Oui;;
26;Col de Propiac;526;1;Oui;;
26;Col de la Borne;591;2;Oui;;X
26;Col de Ferrand;594;1;Oui;;X
26;Col de Reychasset;600;2;Oui;;
26;Col de Romeyer;637;2;Oui;;X
26;Col de Valouse;735;1;Oui;;
26;Col d'Aiguières;738;1;Oui;;
26;Col de la Croix;745;5;Oui;;
26;Col de Marignac;748;10;Oui;;
26;Col de Sausse;791;1;Oui;;
26;Col Lescou;829;2;Oui;;
26;Col de l'abbaye;848;1;Oui;;X
26;Col de Gaudissart;889;1;Oui;;
26;Col de Pré-Guittard;914;1;Oui;;
26;Col de Muse;932;1;Oui;;
26;Col de Prémol;964;3;Oui;;
26;Col de Bacchus;980;1;Oui;;
26;Col de Geine;1009;1;Oui;;
26;Col de la Machine;1011;1;Oui;;
26;Col de Miscon;1023;1;Oui;;
26;Col des Roustans ;1030;1;Oui;;
26;Col de Pennes;1040;8;Oui;;
26;Col de la Chaudière;1047;4;Oui;;
26;Col du Fays;1051;1;Oui;;
26;Col de Proncel;1100;2;Oui;;
26;Col de Rossas;1121;1;Oui;;
26;Col de la Croix-Haute;1176;2;Oui;;
26;Col de Carri;1202;3;Oui;;
26;Col St Alexis;1222;2;Oui;;
26;Col de Rousset;1254;31;Oui;;
26;Col de la Bataille;1313;1;Oui;;
26;Col de Grimone;1318;4;Oui;;
26;Col de Lachau;1337;2;Oui;;
26;Col de Menée;1402;4;Oui;;
29;Col du Menez-Hom;211;2;Oui;;
31;Col de Peyresourde;1569;2;Oui;;
33;Col du Château d'eau;34;1;Oui;;
38;Col de la Placette;587;1;Oui;;
38;Col de Clémencière;622;3;Oui;;
38;Col de Vence;782;3;Oui;;
38;Col Acarias;892;1;Oui;;
38;Col du Fau;899;1;Oui;;
38;Col des Ayes;944;1;Oui;;
38;Col des Mouilles;1020;1;Oui;;
38;Col de Marcieu;1060;2;Oui;;
38;Col de Romeyere;1069;1;Oui;;
38;Col de Cucheron;1139;1;Oui;;
38;Col de Malissol;1153;1;Oui;;
38;Col de Palaquit;1154;1;Oui;;
38;Col de l'Arzelier;1154;1;Oui;;
38;Col du Prayet;1197;2;Oui;;
38;Col de la Croix Perrin;1218;3;Oui;;
38;Col des Deux;1222;1;Oui;;
38;Col de la Charmette;1261;1;Oui;;
38;Col de Porte;1328;6;Oui;;
